SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
60,潮州,0,行政院環保署,2016-11-15
60,潮州,0,行政院環保署,2016-11-14
60,潮州,0,行政院環保署,2016-11-13
60,潮州,0,行政院環保署,2016-11-12
60,潮州,0,行政院環保署,2016-11-11
60,潮州,0,行政院環保署,2016-11-10
60,潮州,0,行政院環保署,2016-11-9
60,潮州,0,行政院環保署,2016-11-8
60,潮州,0,行政院環保署,2016-11-7
60,潮州,0,行政院環保署,2016-11-6
60,潮州,0,行政院環保署,2016-11-5
60,潮州,0,行政院環保署,2016-11-4
60,潮州,0,行政院環保署,2016-11-3
60,潮州,0,行政院環保署,2016-11-2
60,潮州,0,行政院環保署,2016-11-1
59,屏東,0,行政院環保署,2016-11-30
59,屏東,0,行政院環保署,2016-11-29
59,屏東,0.2,行政院環保署,2016-11-28
59,屏東,35.8,行政院環保署,2016-11-27
59,屏東,1.2,行政院環保署,2016-11-26
59,屏東,0,行政院環保署,2016-11-25
59,屏東,0,行政院環保署,2016-11-24
59,屏東,0.2,行政院環保署,2016-11-23
59,屏東,0.6,行政院環保署,2016-11-22
59,屏東,0,行政院環保署,2016-11-21
59,屏東,0.6,行政院環保署,2016-11-20
59,屏東,0,行政院環保署,2016-11-19
59,屏東,0.2,行政院環保署,2016-11-18
59,屏東,0,行政院環保署,2016-11-17
59,屏東,0,行政院環保署,2016-11-16
59,屏東,0,行政院環保署,2016-11-15
59,屏東,0,行政院環保署,2016-11-14
59,屏東,0,行政院環保署,2016-11-13
59,屏東,0,行政院環保署,2016-11-12
59,屏東,0,行政院環保署,2016-11-11
59,屏東,0,行政院環保署,2016-11-10
59,屏東,0,行政院環保署,2016-11-9
59,屏東,0,行政院環保署,2016-11-8
59,屏東,0,行政院環保署,2016-11-7
59,屏東,0,行政院環保署,2016-11-6
59,屏東,0,行政院環保署,2016-11-5
59,屏東,0,行政院環保署,2016-11-4
59,屏東,0,行政院環保署,2016-11-3
59,屏東,0,行政院環保署,2016-11-2
59,屏東,0,行政院環保署,2016-11-1
58,小港,0.2,行政院環保署,2016-11-30
58,小港,0.4,行政院環保署,2016-11-29
58,小港,0,行政院環保署,2016-11-28
58,小港,54.8,行政院環保署,2016-11-27
58,小港,0.8,行政院環保署,2016-11-26
58,小港,0,行政院環保署,2016-11-25
58,小港,0,行政院環保署,2016-11-24
58,小港,0,行政院環保署,2016-11-23
58,小港,2,行政院環保署,2016-11-22
58,小港,0,行政院環保署,2016-11-21
58,小港,0,行政院環保署,2016-11-20
58,小港,0,行政院環保署,2016-11-19
58,小港,0,行政院環保署,2016-11-18
58,小港,0,行政院環保署,2016-11-17
58,小港,0,行政院環保署,2016-11-16
58,小港,0,行政院環保署,2016-11-15
58,小港,0,行政院環保署,2016-11-14
58,小港,0,行政院環保署,2016-11-13
58,小港,0,行政院環保署,2016-11-12
58,小港,0,行政院環保署,2016-11-11
58,小港,0,行政院環保署,2016-11-10
58,小港,0,行政院環保署,2016-11-9
58,小港,0,行政院環保署,2016-11-8
58,小港,0,行政院環保署,2016-11-7
58,小港,0,行政院環保署,2016-11-6
58,小港,0,行政院環保署,2016-11-5
58,小港,0,行政院環保署,2016-11-4
58,小港,0,行政院環保署,2016-11-3
58,小港,0,行政院環保署,2016-11-2
58,小港,0,行政院環保署,2016-11-1
57,前鎮,0.6,行政院環保署,2016-11-30
57,前鎮,0,行政院環保署,2016-11-29
57,前鎮,0.2,行政院環保署,2016-11-28
57,前鎮,54.6,行政院環保署,2016-11-27
57,前鎮,0.6,行政院環保署,2016-11-26
57,前鎮,0,行政院環保署,2016-11-25
57,前鎮,0,行政院環保署,2016-11-24
